FullName,University,JoinYear,SubField,Bachelors,Doctorate
Jingrui He,Arizona State University,2014,Machine Learning & Data Mining,Tsinghua University,Carnegie Mellon University
John Femiani,Arizona State University,1998,Software Engineering,Arizona State University,Arizona State University
Joohyung Lee,Arizona State University,2005,Artificial Intelligence,Seoul National University,University of Texas at Austin
K. Selçuk Candan,Arizona State University,1997,Databases,Bilkent University,University of Maryland
Kevin Gary,Arizona State University,2004,Software Engineering,State University of New York at Albany,Arizona State University
Kurt VanLehn,Arizona State University,2008,Artificial Intelligence,Stanford University,Massachusetts Institute of Technology
Mary Anderson-Rowland,Arizona State University,1974,Theory,Hope College,University of Iowa
Ming Zhao,Arizona State University,2015,High-Performance Computing,Tsinghua University,University of Florida
Mohamed Sarwat,Arizona State University,2019,Databases,Cairo University,University of Minnesota
Partha Dasgupta,Arizona State University,1991,Computer Security,Indian Institute of Technology Kharagpur,Stony Brook University
Pitu Mirchandani,Arizona State University,2009,Embedded & Real-Time Systems,"University of California, Los Angeles",Massachusetts Institute of Technology
Rida A. Bazzi,Arizona State University,1996,Computer Security,American University of Beirut,Georgia Institute of Technology
Robert Atkinson,Arizona State University,2002,Human-Computer Interaction,"California State University, Chico",University of Wisconsin-Madison
Ross Maciejewski,Arizona State University,2017,Visualization,University of Missouri,Purdue University
Sandeep K. S. Gupta,Arizona State University,2001,Mobile Computing,"University of California, Berkeley",Ohio State University
Sarma Vrudhula,Arizona State University,2005,Comp. Bio & Bioinformatics,University of Waterloo,University of Southern California
Siddharth Srivastava,Arizona State University,2017,Artificial Intelligence,,University of Massachusetts Amherst
Sik-Sang Yau,Arizona State University,1994,Software Engineering,Beijing University of Posts and Telecommunications,University of Illinois at Urbana-Champaign
Srividya Bansal,Arizona State University,2010,Software Engineering,"National Institute of Technology, Warangal",University of Texas at Dallas
Subbarao Kambhampati,Arizona State University,1991,Artificial Intelligence,Indian Institute of Technology Madras,University of Maryland
Tiffany Bao,Arizona State University,2019,Computer Security,Peking University,Carnegie Mellon University
Tim Lindquist,Arizona State University,1985,Software Engineering,Purdue University,Iowa State University
Violet R. Syrotiuk,Arizona State University,2002,Computer Networks,University of Alberta,University of Waterloo
W. T. Tsai,Arizona State University,2000,High-Performance Computing,Massachusetts Institute of Technology,"University of California, Berkeley"
Yalin Wang,Arizona State University,2010,Computer Vision,Tsinghua University,University of Washington
Yan Shoshitaishvili,Arizona State University,2017,Computer Security,Rensselaer Polytechnic Institute,"University of California, Santa Barbara"
Yann-Hang Lee,Arizona State University,2000,Embedded & Real-Time Systems,National Cheng Kung University,University of Michigan
Yezhou Yang,Arizona State University,2016,Computer Graphics,Zhejiang University,University of Maryland
Gagan Agrawal,Augusta University,2020,Machine Learning & Data Mining,Indian Institute of Technology Kanpur,University of Maryland
Tony Hosking,Australian National University,1995,Programming Languages,University of Adelaide,University of Massachusetts Amherst
Anand Seetharam,Binghamton University,2017,Computer Networks,,University of Massachusetts Amherst
Aravind Prakash,Binghamton University,2015,Computer Security,B.M.S. College of Engineering,Syracuse University
Arti Ramesh,Binghamton University,2017,Machine Learning & Data Mining,Pondicherry University,University of Maryland
Dmitry Ponomarev,Binghamton University,2003,Computer Architecture,Moscow State Institute of Electronics and Mathematics,Binghamton University
Guanhua Yan,Binghamton University,1958,,,
Hui Lu,Binghamton University,2017,Computer Networks,Shanghai Jiao Tong University,Purdue University
Jeremy Blackburn,Binghamton University,2019,Databases,University of South Florida,University of South Florida
Kanad Ghose,Binghamton University,1987,Computer Architecture,University of Calcutta,Iowa State University
Kartik Gopalan,Binghamton University,2006,Computer Security,Delhi Institute of Technology & Management,Stony Brook University
Kenneth Chiu,Binghamton University,2004,High-Performance Computing,Princeton University,Indiana University Bloomington
Kyoung-Don Kang,Binghamton University,2003,Embedded & Real-Time Systems,Kyungpook National University,University of Virginia
Lei Yu,Binghamton University,2005,Machine Learning & Data Mining,Dalian University of Technology,Arizona State University
Lijun Yin,Binghamton University,2014,Computer Vision,Shanghai Jiao Tong University,University of Alberta
Madhusudhan Govindaraju,Binghamton University,,,,
Michael J. Lewis,Binghamton University,1999,High-Performance Computing,Duke University,University of Virginia
Mo Sha,Binghamton University,2015,Computer Networks,Beihang University,Washington University in St. Louis
Patrick H. Madden,Binghamton University,1998,Algorithms & Complexity,New Mexico Institute of Mining and Technology,"University of California, Los Angeles"
Ping Yang,Binghamton University,2006,Machine Learning & Data Mining,Sun Yat-sen University,Stony Brook University
Seunghee Shin,Binghamton University,2018,Computer Architecture,Myongji University,North Carolina State University
Shiqi Zhang,Binghamton University,2018,Artificial Intelligence,Texas Tech University,Harbin Institute of Technology
Weiyi Meng,Binghamton University,2016,The Web & Information Retrieval,Sichuan University,University of Illinois at Urbana-Champaign
Weiying Dai,Binghamton University,2015,Comp. Bio & Bioinformatics,Peking University,University of Pittsburgh
Yao Liu,Binghamton University,2013,Mobile Computing,Nanjing University,George Mason University
Yifan Zhang,Binghamton University,2014,Mobile Computing,Beihang University,College of William & Mary
Yu David Liu,Binghamton University,2008,Programming Languages,,Johns Hopkins University
Zhongfei (Mark) Zhang,Binghamton University,1999,Machine Learning & Data Mining,Zhejiang University,University of Massachusetts Amherst
Luca Trevisan,Bocconi University,2010,Algorithms & Complexity,,Sapienza University of Rome
A. J. Kfoury,Boston University,1999,Programming Languages,Massachusetts Institute of Technology,Harvard University
Abraham Matta,Boston University,1999,Computer Networks,Alexandria University,University of Maryland
Adam D. Smith,Boston University,2017,Machine Learning & Data Mining,McGill University,Massachusetts Institute of Technology
Alina Ene,Boston University,2016,Algorithms & Complexity,Princeton University,University of Illinois at Urbana-Champaign
Azer Bestavros,Boston University,1991,Computer Networks,Alexandria University,Harvard University
Babis Tsourakakis,Boston University,2017,Computer Graphics,National Technical University of Athens,Carnegie Mellon University
Brian Kulis,Boston University,2018,Machine Learning & Data Mining,Cornell University,University of Texas at Austin
David Starobinski,Boston University,2000,Computer Security,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology
Derry Tanti Wijaya,Boston University,2018,Natural Language Processing,National University of Singapore,Carnegie Mellon University
Emily Whiting,Boston University,2017,Computer Graphics,University of Toronto,Massachusetts Institute of Technology
Evimaria Terzi,Boston University,2014,Algorithms & Complexity,Aristotle University of Thessaloniki,University of Helsinki
Francesco Orabona,Boston University,2018,Machine Learning & Data Mining,University of Naples Federico II,University of Genoa
George Kollios,Boston University,2000,Machine Learning & Data Mining,National Technical University of Athens,New York University
Gianluca Stringhini,Boston University,2018,Computer Security,University of Genoa,"University of California, Santa Barbara"
Hongwei Xi,Boston University,2001,Programming Languages,Nanjing University,Carnegie Mellon University
Ibrahim Matta,Boston University,1999,Computer Networks,Alexandria University,University of Maryland
John W. Byers,Boston University,1999,Algorithms & Complexity,Cornell University,"University of California, Berkeley"
Jonathan Appavoo,Boston University,2009,High-Performance Computing,McMaster University,University of Toronto
Kate Saenko,Boston University,1999,Machine Learning & Data Mining,Brown University,Harvard University
Leonid A. Levin,Boston University,1980,Economics & Computation,Moscow State University,Moscow State University
Leonid Reyzin,Boston University,1999,Cryptography,Harvard University,Massachusetts Institute of Technology
Manos Athanassoulis,Boston University,2019,Databases,National and Kapodistrian University of Athens,École polytechnique fédérale de Lausanne
Manuel Egele,Boston University,2011,Computer Security,TU Wien,TU Wien
Marco Gaboardi,Boston University,2019,Programming Languages,University of Milan-Bicocca,University of Turin
Margrit Betke,Boston University,2000,Artificial Intelligence,University of Bonn,Massachusetts Institute of Technology
Mark Bun,Boston University,2019,Cryptography,University of Washington,Harvard University
Mark Crovella,Boston University,1994,Computer Networks,Cornell University,University of Rochester
Michel Kinsy,Boston University,2016,Computer Architecture,Arizona State University,Massachusetts Institute of Technology
Prakash Ishwar,Boston University,2017,Computer Networks,Indian Institute of Technology Bombay,University of Illinois at Urbana-Champaign
Péter Gács,Boston University,1984,Computer Architecture,,Frankfurt University of Applied Sciences
Ran Canetti,Boston University,2011,Computer Security,Technion - Israel Institute of Technology,Weizmann Institute of Science
Renato Mancuso,Boston University,2017,Operating Systems,Tor Vergata University of Rome,University of Illinois at Urbana-Champaign
Richard West,Boston University,2000,Operating Systems,University of Newcastle,Georgia Institute of Technology
Sharon Goldberg,Boston University,2010,Computer Security,University of Toronto,Princeton University
Sofya Raskhodnikova,Boston University,2007,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Stan Sclaroff,Boston University,1995,Computer Vision,Tufts University,Massachusetts Institute of Technology
Steve Homer,Boston University,1982,Algorithms & Complexity,"University of California, Berkeley",Massachusetts Institute of Technology
Vasiliki Kalavri,Boston University,2019,Databases,National Technical University of Athens,Royal Institute of Technology
Venkatesh Saligrama,Boston University,1997,Machine Learning & Data Mining,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Wayne Snyder,Boston University,1987,Interdisciplinary Areas,,University of Pennsylvania
Antonella DiLillo,Brandeis University,2007,Computer Vision,,Brandeis University
Harry G. Mairson,Brandeis University,2005,Algorithms & Complexity,Yale University,Stanford University
James A. Storer,Brandeis University,1981,Algorithms & Complexity,Cornell University,Princeton University
James Pustejovsky,Brandeis University,,Natural Language Processing,Massachusetts Institute of Technology,University of Massachusetts Amherst
Jordan Pollack,Brandeis University,1994,Artificial Intelligence,Binghamton University,University of Illinois at Chicago
Liuba Shrira,Brandeis University,,Computer Architecture,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology
Lotus Goldberg,Brandeis University,2005,Programming Languages,"University of California, Santa Cruz",McGill University
Mitch Cherniack,Brandeis University,1999,Databases,McGill University,Brown University
Nianwen Xue,Brandeis University,2009,Natural Language Processing,Nankai University,University of Delaware
Olga Papaemmanouil,Brandeis University,2009,Databases,University of Patras,Brown University
Pengyu Hong,Brandeis University,2005,Machine Learning & Data Mining,Tsinghua University,University of Illinois at Urbana-Champaign
Richard Alterman,Brandeis University,1986,Human-Computer Interaction,"University of California, Berkeley",University of Texas at Austin
Sophia A. Malamud,Brandeis University,2009,Natural Language Processing,University of Pennsylvania,University of Pennsylvania
Timothy J. Hickey,Brandeis University,1984,Simulation,Brandeis University,University of Chicago
Amy Greenwald,Brown University,2000,Artificial Intelligence,University of Pennsylvania,New York University
Andries van Dam,Brown University,1965,Computer Graphics,Swarthmore College,University of Pennsylvania
Anna Lysyanskaya,Brown University,2002,Computer Security,Smith College,Massachusetts Institute of Technology
Daniel Ritchie,Brown University,2017,Artificial Intelligence,"University of California, Berkeley",Stanford University
David H. Laidlaw,Brown University,1998,Computer Graphics,Brown University,California Institute of Technology
Eli Upfal,Brown University,1998,Algorithms & Complexity,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Ellie Pavlick,Brown University,2018,Natural Language Processing,Johns Hopkins University,University of Pennsylvania
Eugene Charniak,Brown University,1978,Natural Language Processing,University of Chicago,Massachusetts Institute of Technology
Filippo Menczer,Brown University,1955,Computer Graphics,Aristotle University of Thessaloniki,Brandeis University
Franco P. Preparata,Brown University,1991,Comp. Bio & Bioinformatics,,Sapienza University of Rome
Gabriel Taubin,Brown University,2003,Computer Graphics,University of Buenos Aires,
George Dimitri Konidaris,Brown University,2016,Artificial Intelligence,University of the Witwatersrand,University of Massachusetts Amherst
Iris Bahar,Brown University,1996,Computer Architecture,University of Illinois at Urbana-Champaign,University of Colorado Boulder
James Tompkin,Brown University,2017,Computer Vision,King's College London,University College London
Jeff Huang,Brown University,2013,Human-Computer Interaction,University of Illinois at Urbana-Champaign,University of Washington
John E. Savage,Brown University,1967,Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
John F. Hughes,Brown University,1984,Computer Graphics,Princeton University,"University of California, Berkeley"
Kathi Fisler,Brown University,2017,Computer Education,Williams College,Indiana University Bloomington
Malte Schwarzkopf,Brown University,2019,Operating Systems,University of Cambridge,University of Cambridge
Maurice Herlihy,Brown University,1994,High-Performance Computing,Harvard University,Massachusetts Institute of Technology
Michael L. Littman,Brown University,2012,Machine Learning & Data Mining,Yale University,Brown University
Paul Valiant,Brown University,2013,Algorithms & Complexity,Stanford University,Massachusetts Institute of Technology
Pedro F. Felzenszwalb,Brown University,2011,Artificial Intelligence,Cornell University,Massachusetts Institute of Technology
Philip N. Klein,Brown University,1989,Algorithms & Complexity,Harvard University,Massachusetts Institute of Technology
Roberto Tamassia,Brown University,1993,Computer Security,Sapienza University of Rome,University of Illinois at Urbana-Champaign
Rodrigo C. Fonseca,Brown University,2009,Operating Systems,Federal University of Minas Gerais,"University of California, Berkeley"
Seny Kamara,Brown University,2016,Computer Security,Purdue University,Johns Hopkins University
Shriram Krishnamurthi,Brown University,2000,Programming Languages,Ohio Wesleyan University,Rice University
Sorin Istrail,Brown University,2005,Comp. Bio & Bioinformatics,Alexandru Ioan Cuza University,University of Bucharest
Stan Zdonik,Brown University,1983,Databases,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Stefanie Tellex,Brown University,2013,Robotics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Stephen Bach,Brown University,2018,Machine Learning & Data Mining,Georgetown University,University of Maryland
Steven P. Reiss,Brown University,1977,Software Engineering,Dartmouth College,Yale University
Theophilus A. Benson,Brown University,2017,Computer Networks,Tufts University,University of Wisconsin-Madison
Thomas W. Doeppner Jr.,Brown University,1981,Operating Systems,Cornell University,Princeton University
Ugur Çetintemel,Brown University,2001,Databases,Bilkent University,University of Maryland
Vasileios P. Kemerlis,Brown University,2015,Computer Security,National and Kapodistrian University of Athens,Columbia University
Adam Wierman,California Institute of Technology,2007,Operating Systems,Carnegie Mellon University,Carnegie Mellon University
Alain J. Martin,California Institute of Technology,1981,Computer Architecture,Aix-Marseille University,Grenoble Institute of Technology
Alan H. Barr,California Institute of Technology,1984,Computer Graphics,Rensselaer Polytechnic Institute,Indian Institute of Technology Kanpur
Anima Anandkumar,California Institute of Technology,2017,Artificial Intelligence,Indian Institute of Technology Madras,Cornell University
Chris Umans,California Institute of Technology,2002,Algorithms & Complexity,Williams College,"University of California, Berkeley"
Erik Winfree,California Institute of Technology,1999,Comp. Bio & Bioinformatics,University of Chicago,California Institute of Technology
Erin Brady,California Institute of Technology,1954,Computer Architecture,Bar-Ilan University,Royal Institute of Technology
Fernando G. S. L. Brandão,California Institute of Technology,2016,High-Performance Computing,Federal University of Minas Gerais,Imperial College London
Funda Ergün,California Institute of Technology,1991,Computer Architecture,Bar-Ilan University,California Institute of Technology
Joel A. Tropp,California Institute of Technology,2007,Interdisciplinary Areas,University of Texas at Austin,University of Texas at Austin
Leonard J. Schulman,California Institute of Technology,2000,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Lior Pachter,California Institute of Technology,2017,Comp. Bio & Bioinformatics,California Institute of Technology,Massachusetts Institute of Technology
Mathieu Desbrun,California Institute of Technology,2003,Economics & Computation,École nationale supérieure d'informatique et de mathématiques appliquées de Grenoble,Grenoble Institute of Technology
Peter Schröder,California Institute of Technology,1995,Algorithms & Complexity,Technical University of Berlin,Princeton University
Pietro Perona,California Institute of Technology,1991,Machine Learning & Data Mining,University of Padua,"University of California, Berkeley"
Steven H. Low,California Institute of Technology,2000,Computer Networks,Cornell University,"University of California, Berkeley"
Thomas Vidick,California Institute of Technology,2014,Theory,École normale supérieure,"University of California, Berkeley"
Tracey Ho,California Institute of Technology,2005,Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Venkat Chandrasekaran,California Institute of Technology,2012,Algorithms & Complexity,Rice University,Massachusetts Institute of Technology
Yaser S. Abu-Mostafa,California Institute of Technology,1983,Machine Learning & Data Mining,Cairo University,California Institute of Technology
Yisong Yue,California Institute of Technology,2014,Machine Learning & Data Mining,University of Illinois at Urbana-Champaign,Cornell University
Abdelfattah Amamra,"California State Polytechnic University, Pomona",2017,,Cornell University,
Aarti Singh,Carnegie Mellon University,2009,Machine Learning & Data Mining,University of Delhi,University of Wisconsin-Madison
Abhinav Gupta,Carnegie Mellon University,2004,Algorithms & Complexity,Indian Institute of Technology Kanpur,"University of California, Berkeley"
Alan M. Frieze,Carnegie Mellon University,,Theory,University of Oxford,University College London
Alan W. Black,Carnegie Mellon University,1999,Natural Language Processing,Coventry University,University of Edinburgh
Alessandro Acquisti,Carnegie Mellon University,2003,Economics & Computation,Sapienza University of Rome,"University of California, Berkeley"
Alexander Hauptmann,Carnegie Mellon University,1998,Interdisciplinary Areas,Johns Hopkins University,Carnegie Mellon University
Alexander J. Smola,Carnegie Mellon University,2013,Machine Learning & Data Mining,Technical University of Munich,Technical University of Berlin
Alexander Waibel,Carnegie Mellon University,,Machine Learning & Data Mining,Massachusetts Institute of Technology,Carnegie Mellon University
Alonzo Kelly,Carnegie Mellon University,1995,Robotics,University of Toronto,Carnegie Mellon University
Ameet S. Talwalkar,Carnegie Mellon University,2018,Machine Learning & Data Mining,Yale University,New York University
Amy E. Ogan,Carnegie Mellon University,2011,Human-Computer Interaction,Carnegie Mellon University,Carnegie Mellon University
Ananda Gunawardena,Carnegie Mellon University,1998,Scientific Computing,Ananda College,University of Colombo
Andreas R. Pfenning,Carnegie Mellon University,,,,
Andrej Risteski,Carnegie Mellon University,2019,Machine Learning & Data Mining,Princeton University,Princeton University
Andrew Moore,Carnegie Mellon University,2014,Machine Learning & Data Mining,University of Cambridge,University of Cambridge
Andrew Pavlo,Carnegie Mellon University,2013,Databases,Rochester Institute of Technology,Brown University
André Platzer,Carnegie Mellon University,2008,Programming Languages,Karlsruhe Institute of Technology,University of Edinburgh
Aniket Kittur,Carnegie Mellon University,2007,Human-Computer Interaction,Princeton University,"University of California, Los Angeles"
Ann Lee,Carnegie Mellon University,2005,Machine Learning & Data Mining,Chalmers University of Technology,Brown University
Anupam Datta,Carnegie Mellon University,2007,Computer Security,Indian Institute of Technology Kharagpur,Stanford University
Barnabás Póczos,Carnegie Mellon University,2012,Machine Learning & Data Mining,Eötvös Loránd University,Eötvös Loránd University
Benjamin Moseley,Carnegie Mellon University,2018,Machine Learning & Data Mining,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Bernhard Haeupler,Carnegie Mellon University,2005,Computer Networks,Technical University of Munich,Massachusetts Institute of Technology
Bhiksha Raj,Carnegie Mellon University,2008,Natural Language Processing,,Carnegie Mellon University
Bill Scherlis,Carnegie Mellon University,1993,Software Engineering,Harvard University,Stanford University
Bogdan Vasilescu,Carnegie Mellon University,2016,Machine Learning & Data Mining,Oil & Gas University of Ploiești,Eindhoven University of Technology
Brad A. Myers,Carnegie Mellon University,1987,Human-Computer Interaction,Massachusetts Institute of Technology,University of Toronto
Bradley Schmerl,Carnegie Mellon University,2000,Software Engineering,University of Adelaide,Flinders University
Bruce H. Krogh,Carnegie Mellon University,1975,Computer Architecture,Wheaton College,University of Illinois at Urbana-Champaign
Bruno Sinopoli,Carnegie Mellon University,2007,Computer Architecture,University of Padua,"University of California, Berkeley"
Bryan Parno,Carnegie Mellon University,2017,Cryptography,Harvard University,Carnegie Mellon University
Carl Kingsford,Carnegie Mellon University,2012,Computer Vision,Duke University,Princeton University
Carolyn Penstein Rosé,Carnegie Mellon University,2003,Computer Graphics,"University of California, Irvine",Carnegie Mellon University
Changliu Liu,Carnegie Mellon University,2019,Robotics,Tsinghua University,"University of California, Berkeley"
Chinmay Eishan Kulkarni,Carnegie Mellon University,2015,Human-Computer Interaction,Birla Institute of Technology and Science,Stanford University
Chris Harrison,Carnegie Mellon University,2014,Human-Computer Interaction,New York University,Carnegie Mellon University
Christian Kästner,Carnegie Mellon University,2012,Software Engineering,University of Magdeburg,University of Magdeburg
Christopher Dyer,Carnegie Mellon University,2012,Natural Language Processing,Duke University,University of Maryland
Christopher G. Atkeson,Carnegie Mellon University,2000,Human-Computer Interaction,Harvard University,Massachusetts Institute of Technology
Christopher James Langmead,Carnegie Mellon University,2004,Comp. Bio & Bioinformatics,Oberlin College,Dartmouth College
Christos Faloutsos,Carnegie Mellon University,1998,Machine Learning & Data Mining,National Technical University of Athens,University of Toronto
Claire Le Goues,Carnegie Mellon University,2013,Software Engineering,Harvard University,University of Virginia
Dana S. Scott,Carnegie Mellon University,1981,Logic & Verification,"University of California, Berkeley",Princeton University
Daniel Dominic Kaplan Sleator,Carnegie Mellon University,1999,Algorithms & Complexity,University of Illinois at Urbana-Champaign,Stanford University
Daniel P. Siewiorek,Carnegie Mellon University,1972,Human-Computer Interaction,University of Michigan,Stanford University
Dave Andersen,Carnegie Mellon University,2005,Computer Networks,University of Utah,Massachusetts Institute of Technology
David Brumley,Carnegie Mellon University,2009,Computer Security,Colorado State University,Carnegie Mellon University
David Garlan,Carnegie Mellon University,1990,Computer Architecture,University of Oxford,Carnegie Mellon University
David Held,Carnegie Mellon University,2017,Machine Learning & Data Mining,Massachusetts Institute of Technology,Stanford University
David P. Woodruff,Carnegie Mellon University,2017,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
David R. O'Hallaron,Carnegie Mellon University,2010,Databases,Virginia Tech,University of Virginia
David Touretzky,Carnegie Mellon University,2006,Computer Education,Rutgers University,Carnegie Mellon University
Deepak Pathak,Carnegie Mellon University,2020,Artificial Intelligence,Indian Institute of Technology Kanpur,"University of California, Berkeley"
Deva Ramanan,Carnegie Mellon University,2008,Computer Vision,,"University of California, Berkeley"
Diana Marculescu,Carnegie Mellon University,2000,Machine Learning & Data Mining,Politehnica University of Bucharest,University of Southern California
Doug Sicker,Carnegie Mellon University,2014,Computer Networks,University of Pittsburgh,University of Pittsburgh
Douglas C. Sicker,Carnegie Mellon University,2013,Computer Networks,University of Pittsburgh,University of Pittsburgh
Edmund M. Clarke,Carnegie Mellon University,1982,Algorithms & Complexity,University of Virginia,Cornell University
Emma Strubell,Carnegie Mellon University,2020,Natural Language Processing,University of Maine,University of Massachusetts Amherst
Eric Nyberg,Carnegie Mellon University,1993,Artificial Intelligence,Boston University,Carnegie Mellon University
Eric P. Xing,Carnegie Mellon University,2004,Machine Learning & Data Mining,Tsinghua University,Rutgers University
Farnam Jahanian,Carnegie Mellon University,2007,Computer Networks,University of Texas at Austin,University of Texas at Austin
Fei Fang,Carnegie Mellon University,2017,Artificial Intelligence,Tsinghua University,University of Southern California
Frank Pfenning,Carnegie Mellon University,2002,Programming Languages,Technische Universität Darmstadt,Carnegie Mellon University
Garth Gibson,Carnegie Mellon University,1991,Computer Architecture,University of Waterloo,"University of California, Berkeley"
Gary K. Fedder,Carnegie Mellon University,1994,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,"University of California, Berkeley"
Gary L. Miller,Carnegie Mellon University,,Theory,Texas A&M University,"University of California, Berkeley"
Geoff F. Kaufman,Carnegie Mellon University,2015,Human-Computer Interaction,Carnegie Mellon University,Ohio State University
Geoffrey Brown,Carnegie Mellon University,1967,Computer Architecture,Aristotle University of Thessaloniki,Arizona State University
Geoffrey J. Gordon,Carnegie Mellon University,,Machine Learning & Data Mining,Cornell University,Carnegie Mellon University
George Amvrosiadis,Carnegie Mellon University,2016,Operating Systems,University of Ioannina,University of Toronto
Graham Neubig,Carnegie Mellon University,2016,Natural Language Processing,University of Illinois at Urbana-Champaign,Kyoto University
Greg Ganger,Carnegie Mellon University,1997,Operating Systems,University of Michigan,University of Michigan
Guangwen Yang,Carnegie Mellon University,2008,Comp. Bio & Bioinformatics,Tsinghua University,University of Minnesota
Guy E. Blelloch,Carnegie Mellon University,2009,Computer Architecture,Swarthmore College,Massachusetts Institute of Technology
Hartmut Geyer,Carnegie Mellon University,2010,Robotics,University of Jena,University of Jena
Heather Miller,Carnegie Mellon University,2018,High-Performance Computing,University of Miami,École polytechnique fédérale de Lausanne
Henny Admoni,Carnegie Mellon University,2017,Robotics,Wesleyan University,Yale University
Howie Choset,Carnegie Mellon University,1996,Artificial Intelligence,University of Pennsylvania,California Institute of Technology
Illah R. Nourbakhsh,Carnegie Mellon University,,Robotics,Stanford University,Stanford University
Ioannis Gkioulekas,Carnegie Mellon University,2017,Algorithms & Complexity,National Technical University of Athens,Harvard University
J. Andrew Bagnell,Carnegie Mellon University,2004,Machine Learning & Data Mining,University of Florida,Carnegie Mellon University
J. Zico Kolter,Carnegie Mellon University,2012,Embedded & Real-Time Systems,Georgetown University,Stanford University
Jack Mostow,Carnegie Mellon University,1992,Robotics,Harvard University,Carnegie Mellon University
James C. Hoe,Carnegie Mellon University,2004,Software Engineering,"University of California, Berkeley",Massachusetts Institute of Technology
James D. Herbsleb,Carnegie Mellon University,2002,Software Engineering,Monmouth College,University of Nebraska-Lincoln
James H. Morris,Carnegie Mellon University,1983,Programming Languages,Carnegie Mellon University,Massachusetts Institute of Technology
James K. Baker,Carnegie Mellon University,2003,Human-Computer Interaction,Princeton University,Carnegie Mellon University
James McCann,Carnegie Mellon University,,Computer Graphics,,Carnegie Mellon University
Jamie Callan,Carnegie Mellon University,1999,Machine Learning & Data Mining,University of Connecticut,University of Massachusetts Amherst
Jan Hoffmann,Carnegie Mellon University,2015,Programming Languages,Ludwig Maximilian University of Munich,Ludwig Maximilian University of Munich
Jason I. Hong,Carnegie Mellon University,2018,Machine Learning & Data Mining,Georgia Institute of Technology,"University of California, Berkeley"
Javier Lopez,Carnegie Mellon University,,Comp. Bio & Bioinformatics,,Duke University
Jean Yang,Carnegie Mellon University,2016,Programming Languages,Harvard University,Massachusetts Institute of Technology
Jeffrey Bigham,Carnegie Mellon University,2013,Human-Computer Interaction,Princeton University,University of Washington
Jeffrey Eppinger,Carnegie Mellon University,2001,Software Engineering,Carnegie Mellon University,Carnegie Mellon University
Jessica Hammer,Carnegie Mellon University,2014,Human-Computer Interaction,Harvard University,Columbia University
Jessica K. Hodgins,Carnegie Mellon University,2000,Computer Graphics,Yale University,Carnegie Mellon University
